    9.5625 MB /   1.00 sec =   80.1980 Mbps
    9.5625 MB /   1.00 sec =   79.8214 Mbps
    9.5000 MB /   1.00 sec =   79.8266 Mbps
    9.5000 MB /   1.00 sec =   79.8233 Mbps
    9.5625 MB /   1.00 sec =   80.4232 Mbps
    9.5625 MB /   1.00 sec =   80.1711 Mbps
    9.5000 MB /   1.00 sec =   79.7350 Mbps
    9.5625 MB /   1.00 sec =   80.2490 Mbps
    9.7500 MB /   1.03 sec =   79.6943 Mbps
    9.3125 MB /   0.98 sec =   80.1077 Mbps
    9.5625 MB /   1.00 sec =   80.0727 Mbps
    9.5625 MB /   1.00 sec =   79.9433 Mbps
    9.5000 MB /   0.99 sec =   80.1195 Mbps
    9.5000 MB /   1.00 sec =   79.7277 Mbps
    9.5625 MB /   1.00 sec =   80.1783 Mbps
    9.5625 MB /   1.00 sec =   80.0903 Mbps
    9.5000 MB /   1.00 sec =   79.8192 Mbps
    9.5000 MB /   1.00 sec =   79.8033 Mbps
    9.6250 MB /   1.01 sec =   80.3147 Mbps
    9.5000 MB /   1.00 sec =   80.0387 Mbps
    9.5000 MB /   1.00 sec =   79.7459 Mbps
    9.5625 MB /   1.00 sec =   80.1573 Mbps
    9.5000 MB /   1.00 sec =   79.7242 Mbps
    9.8125 MB /   1.03 sec =   80.2883 Mbps
    9.3125 MB /   0.98 sec =   79.7467 Mbps
    9.5000 MB /   1.00 sec =   79.7952 Mbps
    9.5625 MB /   1.00 sec =   80.5373 Mbps
    9.5000 MB /   1.00 sec =   79.6942 Mbps
    9.5625 MB /   1.00 sec =   80.0444 Mbps
    9.5625 MB /   1.00 sec =   80.3280 Mbps
    9.6250 MB /   1.01 sec =   80.1106 Mbps

 2861.1875 MB / 300.02 sec =   80.0001 Mbps 99 %TX 0 %RX 1.87 msRTT
